t_diff,prcp_diff,county
-22.0,0.0,08055
-55.0,25.0,08057
-64.0,0.0,08059
-16.5,0.0,08061
-33.5,0.0,08063
-52.5,0.0,08065
-22.0,0.0,08067
-38.5,-25.0,08069
-33.5,0.0,08071
-22.5,0.0,08073
-13.5,0.0,08075
3.0,0.0,08077
-45.5,0.0,08079
28.0,0.0,08081
-11.0,0.0,08083
14.0,0.0,08085
-19.0,0.0,08087
-16.0,0.0,08089
5.0,0.0,08091
-54.5,0.0,08093
-24.5,0.0,08095
-8.0,0.0,08097
-14.0,0.0,08099
-39.0,0.0,08101
-36.0,-25.0,08103
8.5,0.0,08105
-23.0,-25.0,08107
-35.5,-25.0,08109
-42.5,0.0,08111
-46.0,25.0,08113
-14.0,0.0,08115
-58.0,0.0,08117
-125.5,0.0,08119
-52.5,0.0,08121
-36.0,0.0,08123
-3.0,0.0,08125
16.5,0.0,09001
36.5,0.0,09003
39.0,0.0,09005
25.0,0.0,09009
47.0,0.0,09011
41.5,0.0,09013
14.0,0.0,09015
44.5,0.0,10001
13.5,0.0,10003
8.0,0.0,10005
55.5,0.0,11001
72.5,25.0,12001
92.0,-84.0,12003
28.0,83.0,12005
53.5,0.0,12009
5.5,0.0,12011
33.5,0.0,12015
30.0,0.0,12017
12.0,0.0,12021
3.0,0.0,12027
63.5,59.0,12029
44.0,58.0,12031
14.0,30.0,12033
42.0,-61.0,12035
38.5,5.0,12037
2.5,0.0,12043
25.0,71.0,12045
67.0,-193.0,12047
5.5,0.0,12049
-13.5,0.0,12051
52.5,-13.0,12053
43.5,0.0,12055
52.5,0.0,12057
55.5,114.0,12059
24.5,0.0,12063
77.5,132.0,12065
75.0,-3.0,12069
13.5,0.0,12071
86.0,279.0,12073
83.5,-7.0,12079
38.5,-10.0,12081
41.5,-56.0,12083
8.5,0.0,12085
8.0,-15.0,12086
5.5,0.0,12087
16.5,23.0,12091
8.0,0.0,12093
55.0,0.0,12095
19.5,5.0,12097
17.0,0.0,12099
47.5,-3.0,12101
64.0,3.0,12103
52.5,-5.0,12105
39.0,-40.0,12107
58.5,20.0,12109
9.0,-30.0,12111
17.0,10.0,12113
11.0,-15.0,12115
36.0,0.0,12117
61.5,0.0,12119
49.5,127.0,12121
13.5,142.0,12123
11.5,0.0,12127
75.0,341.0,12133
22.5,168.0,13005
25.5,23.0,13007
69.5,117.0,13009
61.0,0.0,13011
5.5,0.0,13015
25.0,3.0,13021
75.0,203.0,13025
61.0,167.0,13031
28.0,226.0,13033
37.0,100.0,13039
28.5,53.0,13043
55.5,0.0,13045
83.5,-20.0,13049
28.0,104.0,13051
61.5,0.0,13055
58.5,71.0,13059
53.0,13.0,13063
89.0,124.0,13065
83.5,216.0,13069
103.0,323.0,13071
-31.0,0.0,13073
55.5,5.0,13077
61.0,216.0,13081
5.0,0.0,13089
55.5,0.0,13091
24.5,13.0,13095
61.0,38.0,13105
11.0,0.0,13113
47.0,0.0,13115
47.5,0.0,13117
8.5,0.0,13121
50.0,56.0,13127
80.5,381.0,13131
58.0,84.0,13133
64.0,0.0,13137
47.0,0.0,13139
72.0,36.0,13147
19.0,5.0,13153
55.5,0.0,13157
25.0,-3.0,13159
61.5,147.0,13163
58.5,271.0,13167
69.5,325.0,13175
75.0,368.0,13177
69.5,69.0,13185
69.5,31.0,13191
64.0,91.0,13195
86.0,328.0,13205
55.0,0.0,13213
14.5,0.0,13215
27.0,0.0,13219
52.5,84.0,13221
52.5,0.0,13223
55.5,0.0,13227
86.0,-152.0,13229
52.5,0.0,13233
25.0,330.0,13235
64.0,180.0,13239
72.5,0.0,13241
0.0,483.0,13243
52.5,0.0,13245
80.5,0.0,13253
72.5,0.0,13257
72.5,0.0,13261
53.0,0.0,13263
80.5,158.0,13277
-61.0,-1499.0,13291
52.5,0.0,13293
33.5,0.0,13295
119.5,114.0,13299
